hotel_id,name,city,location (lat/lon),price_per_night,rating,contact_number,amenities (array)
1001,Heritage Kanyakumari Residency,Kanyakumari,"8.1256, 77.4898",12347,3.9,9525343003,"['Gym', 'Free Breakfast', 'Parking', 'AC', 'Wi-Fi']"
1002,Grand Chennai Plaza,Chennai,"13.0649, 80.2960",9185,4.2,9435347855,"['Parking', 'Spa', 'Room Service', 'Wi-Fi', 'Gym']"
1003,Heritage Madurai Towers,Madurai,"9.9705, 78.0790",12643,3.4,9500094753,"['Gym', 'Wi-Fi', 'Pool', 'Spa']"
1004,Heritage Madurai Plaza,Madurai,"9.9191, 78.1623",12482,3.7,9559109408,"['Parking', 'Gym', 'Wi-Fi', 'Spa', 'AC', 'Free Breakfast']"
1005,Grand Tiruchirappalli Residency,Tiruchirappalli,"10.8001, 78.7331",7254,4.1,9387072372,"['Spa', 'Room Service', 'AC', 'Gym']"
1006,Royal Madurai Suites,Madurai,"9.9425, 78.1035",9696,4.5,9512177638,"['Pool', 'Wi-Fi', 'Spa', 'Parking', 'Free Breakfast']"
1007,City Chennai Palace,Chennai,"13.1038, 80.2348",12665,3.8,9512428301,"['AC', 'Parking', 'Spa', 'Pool', 'Free Breakfast']"
1008,Lake View Kanyakumari Inn,Kanyakumari,"8.1050, 77.5710",10659,3.8,9518732618,"['Parking', 'Pool', 'Room Service', 'Spa', 'AC', 'Free Breakfast', 'Gym', 'Wi-Fi']"
1009,Grand Coimbatore Plaza,Coimbatore,"10.9875, 77.0022",9128,3.3,9659195286,"['Spa', 'Pool', 'Room Service', 'Parking']"
1010,Green Kanyakumari View,Kanyakumari,"8.0739, 77.5840",5509,3.5,9563584635,"['Room Service', 'Spa', 'AC', 'Pool', 'Gym']"
1011,Grand Chennai View,Chennai,"13.0857, 80.2658",13748,3.6,9842587027,"['AC', 'Spa', 'Gym', 'Free Breakfast']"
1012,Green Tiruchirappalli Plaza,Tiruchirappalli,"10.7441, 78.7129",5132,3.4,9897215869,"['Wi-Fi', 'AC', 'Spa', 'Room Service']"
